image_id,dataset_idx,object_idx,layer,distance_bin,patch_count,cosine_distance,relative_l2
632,2,0,5,near_2_4,93,0.009179724380373955,0.1300777792930603
632,2,0,5,mid_5_8,155,0.005047555547207594,0.09594016522169113
632,2,0,5,far_gt8,507,0.0034889201633632183,0.0798453539609909
632,2,0,6,inside,215,0.4786573648452759,0.9746528267860413
632,2,0,6,ring_1,54,0.06955523043870926,0.35599830746650696
632,2,0,6,near_2_4,93,0.010939500294625759,0.1410229355096817
632,2,0,6,mid_5_8,155,0.005731010343879461,0.10071122646331787
632,2,0,6,far_gt8,507,0.0036785127595067024,0.08151769638061523
632,2,0,7,inside,215,0.5069774985313416,1.0024453401565552
632,2,0,7,ring_1,54,0.08962147682905197,0.3977518081665039
632,2,0,7,near_2_4,93,0.01149357296526432,0.14456681907176971
632,2,0,7,mid_5_8,155,0.006185334175825119,0.10401372611522675
632,2,0,7,far_gt8,507,0.003940010908991098,0.08427105098962784
632,2,0,8,inside,215,0.47962936758995056,0.9737181067466736
632,2,0,8,ring_1,54,0.10154552012681961,0.4191568195819855
632,2,0,8,near_2_4,93,0.011165955103933811,0.14332462847232819
632,2,0,8,mid_5_8,155,0.006086733192205429,0.10194426774978638
632,2,0,8,far_gt8,507,0.0037754259537905455,0.08170314878225327
632,2,0,9,inside,215,0.5021064281463623,0.9939965605735779
632,2,0,9,ring_1,54,0.11999932676553726,0.4476081132888794
632,2,0,9,near_2_4,93,0.011739312671124935,0.14509738981723785
632,2,0,9,mid_5_8,155,0.00651974743232131,0.1026875302195549
632,2,0,9,far_gt8,507,0.00416520843282342,0.08343618363142014
632,2,0,10,inside,215,0.5004163384437561,0.9853920936584473
632,2,0,10,ring_1,54,0.13009290397167206,0.459232360124588
632,2,0,10,near_2_4,93,0.012204429134726524,0.1459985375404358
632,2,0,10,mid_5_8,155,0.006976122967898846,0.10230587422847748
632,2,0,10,far_gt8,507,0.004507921636104584,0.08306477963924408
632,2,0,11,inside,215,0.5256019830703735,1.0078010559082031
632,2,0,11,ring_1,54,0.15295951068401337,0.48835089802742004
632,2,0,11,near_2_4,93,0.012956816703081131,0.14889471232891083
632,2,0,11,mid_5_8,155,0.008030705153942108,0.10719550400972366
632,2,0,11,far_gt8,507,0.005313252564519644,0.08678127825260162
632,2,0,12,inside,215,0.5311712026596069,1.0102500915527344
632,2,0,12,ring_1,54,0.1703033745288849,0.5065243244171143
632,2,0,12,near_2_4,93,0.013386338949203491,0.14991290867328644
632,2,0,12,mid_5_8,155,0.0095299631357193,0.11126956343650818
632,2,0,12,far_gt8,507,0.006637541111558676,0.09186867624521255
632,2,0,13,inside,215,0.5634205341339111,1.037042498588562
632,2,0,13,ring_1,54,0.18891409039497375,0.528476893901825
632,2,0,13,near_2_4,93,0.015123294666409492,0.15781228244304657
632,2,0,13,mid_5_8,155,0.011787308380007744,0.11792326718568802
632,2,0,13,far_gt8,507,0.008343139663338661,0.09779780358076096
632,2,0,14,inside,215,0.5915446281433105,1.063320517539978
632,2,0,14,ring_1,54,0.205370232462883,0.5439983606338501
632,2,0,14,near_2_4,93,0.015879051759839058,0.1583077609539032
632,2,0,14,mid_5_8,155,0.016118504106998444,0.1250697672367096
632,2,0,14,far_gt8,507,0.010734089650213718,0.10367695987224579
632,2,0,15,inside,215,0.6121322512626648,1.0803169012069702
632,2,0,15,ring_1,54,0.21098768711090088,0.5499590039253235
632,2,0,15,near_2_4,93,0.017787914723157883,0.16524645686149597
632,2,0,15,mid_5_8,155,0.018598565831780434,0.13108772039413452
632,2,0,15,far_gt8,507,0.012280148454010487,0.10855366289615631
632,2,0,16,inside,215,0.6321441531181335,1.09776771068573
632,2,0,16,ring_1,54,0.214322030544281,0.5552405714988708
632,2,0,16,near_2_4,93,0.019092902541160583,0.17059054970741272
632,2,0,16,mid_5_8,155,0.022229410707950592,0.1388673484325409
632,2,0,16,far_gt8,507,0.014026033692061901,0.11392346024513245
632,2,0,17,inside,215,0.6217395663261414,1.087682843208313
632,2,0,17,ring_1,54,0.20794934034347534,0.5444576144218445
632,2,0,17,near_2_4,93,0.01873060129582882,0.16950859129428864
632,2,0,17,mid_5_8,155,0.022213753312826157,0.1396208256483078
632,2,0,17,far_gt8,507,0.014331493526697159,0.1159587949514389
632,2,0,18,inside,215,0.6359038352966309,1.09989595413208
632,2,0,18,ring_1,54,0.21440398693084717,0.5563347339630127
632,2,0,18,near_2_4,93,0.020963523536920547,0.17817677557468414
632,2,0,18,mid_5_8,155,0.02495940402150154,0.1460948884487152
632,2,0,18,far_gt8,507,0.015993474051356316,0.12272068858146667
632,2,0,19,inside,215,0.6587255001068115,1.1202384233474731
632,2,0,19,ring_1,54,0.22923080623149872,0.5769123435020447
632,2,0,19,near_2_4,93,0.02340266853570938,0.18843956291675568
632,2,0,19,mid_5_8,155,0.02671073190867901,0.15447276830673218
632,2,0,19,far_gt8,507,0.017582973465323448,0.13202886283397675
632,2,0,20,inside,215,0.659792423248291,1.1208405494689941
632,2,0,20,ring_1,54,0.2266082465648651,0.5722399950027466
632,2,0,20,near_2_4,93,0.025126203894615173,0.19224001467227936
632,2,0,20,mid_5_8,155,0.02828550897538662,0.1580289602279663
632,2,0,20,far_gt8,507,0.019426705315709114,0.13776160776615143
632,2,0,21,inside,215,0.6370328664779663,1.1017322540283203
632,2,0,21,ring_1,54,0.2277049422264099,0.574131429195404
632,2,0,21,near_2_4,93,0.025938857346773148,0.19648218154907227
632,2,0,21,mid_5_8,155,0.028724348172545433,0.16259317100048065
632,2,0,21,far_gt8,507,0.020688258111476898,0.14381085336208344
632,2,0,22,inside,215,0.6134214401245117,1.0806758403778076
632,2,0,22,ring_1,54,0.22807753086090088,0.5769687294960022
632,2,0,22,near_2_4,93,0.026943037286400795,0.2011222243309021
632,2,0,22,mid_5_8,155,0.028758591040968895,0.16526614129543304
632,2,0,22,far_gt8,507,0.021114559844136238,0.14734674990177155
632,2,0,23,inside,215,0.5867673754692078,1.0564446449279785
632,2,0,23,ring_1,54,0.21862676739692688,0.5655239224433899
632,2,0,23,near_2_4,93,0.027564112097024918,0.20269399881362915
